"","Date","Year","Month","ONI","phase","SOI","NPGO"
"1",1951-04-01,1951,"Apr",0.176666666666667,"Neutral Phase",-0.3,-0.56114016
"2",1951-08-01,1951,"Aug",0.886666666666667,"Warm Phase/El Nino",-0.2,-1.1748547
"3",1951-12-01,1951,"Dec",0.806666666666667,"Warm Phase/El Nino",-0.7,-1.2247459
"4",1951-02-01,1951,"Feb",-0.54,"Cool Phase/La Nina",0.9,-0.41382623
"5",1951-07-01,1951,"Jul",0.7,"Warm Phase/El Nino",-1,-1.1039251
"6",1951-06-01,1951,"Jun",0.586666666666667,"Warm Phase/El Nino",0.2,-1.4352384
"7",1951-03-01,1951,"Mar",-0.166666666666667,"Neutral Phase",-0.1,-0.56954018
"8",1951-05-01,1951,"May",0.363333333333333,"Neutral Phase",-0.7,-1.0714146
"9",1951-11-01,1951,"Nov",1.04,"Warm Phase/El Nino",-0.8,-1.0120413
"10",1951-10-01,1951,"Oct",1.15333333333333,"Warm Phase/El Nino",-1,-1.0693902
"11",1951-09-01,1951,"Sep",0.993333333333333,"Warm Phase/El Nino",-1.1,-1.4195152
"12",1952-04-01,1952,"Apr",0.296666666666667,"Neutral Phase",-0.2,-0.43371917
"13",1952-08-01,1952,"Aug",0.00333333333333333,"Neutral Phase",0.1,-0.89742819
"14",1952-12-01,1952,"Dec",0.15,"Neutral Phase",-1.2,0.84508038
"15",1952-02-01,1952,"Feb",0.366666666666667,"Neutral Phase",-0.6,-1.0909977
"16",1952-01-01,1952,"Jan",0.533333333333333,"Warm Phase/El Nino",-0.9,-1.3350548
"17",1952-07-01,1952,"Jul",-0.0766666666666667,"Neutral Phase",0.5,-1.3356465
"18",1952-06-01,1952,"Jun",0,"Neutral Phase",0.7,-0.97265631
"19",1952-03-01,1952,"Mar",0.343333333333333,"Neutral Phase",0.5,-0.66951595
"20",1952-05-01,1952,"May",0.206666666666667,"Neutral Phase",0.8,-0.62650865
"21",1952-11-01,1952,"Nov",0.0466666666666667,"Neutral Phase",0,-0.31621332
"22",1952-10-01,1952,"Oct",0.106666666666667,"Neutral Phase",0.4,-0.25781197
"23",1952-09-01,1952,"Sep",0.153333333333333,"Neutral Phase",-0.2,-0.58261822
"24",1953-04-01,1953,"Apr",0.656666666666667,"Warm Phase/El Nino",0.2,1.2502004
"25",1953-08-01,1953,"Aug",0.726666666666667,"Warm Phase/El Nino",-1.2,0.6189014
"26",1953-12-01,1953,"Dec",0.816666666666667,"Warm Phase/El Nino",-0.5,1.418955
"27",1953-02-01,1953,"Feb",0.596666666666667,"Warm Phase/El Nino",-0.5,0.74797162
"28",1953-01-01,1953,"Jan",0.4,"Neutral Phase",0.3,0.94395233
"29",1953-07-01,1953,"Jul",0.743333333333333,"Warm Phase/El Nino",0,1.0407542
"30",1953-06-01,1953,"Jun",0.77,"Warm Phase/El Nino",0.1,1.056728
"31",1953-03-01,1953,"Mar",0.623333333333333,"Warm Phase/El Nino",-0.2,1.2173325
"32",1953-05-01,1953,"May",0.75,"Warm Phase/El Nino",-1.7,1.2707073
"33",1953-11-01,1953,"Nov",0.836666666666667,"Warm Phase/El Nino",-0.3,2.0496203
"34",1953-10-01,1953,"Oct",0.843333333333333,"Warm Phase/El Nino",0.1,1.0815173
"35",1953-09-01,1953,"Sep",0.78,"Warm Phase/El Nino",-1.2,0.29073101
"36",1954-04-01,1954,"Apr",-0.41,"Neutral Phase",0.6,-0.37253308
"37",1954-08-01,1954,"Aug",-0.843333333333333,"Cool Phase/La Nina",1.1,-0.13153747
"38",1954-12-01,1954,"Dec",-0.656666666666667,"Cool Phase/La Nina",1.4,0.40412547
"39",1954-02-01,1954,"Feb",0.466666666666667,"Neutral Phase",-0.3,1.156514
"40",1954-01-01,1954,"Jan",0.756666666666667,"Warm Phase/El Nino",0.7,1.0939573
"41",1954-07-01,1954,"Jul",-0.64,"Cool Phase/La Nina",0.4,-0.035203404
"42",1954-06-01,1954,"Jun",-0.496666666666667,"Neutral Phase",0.1,0.17838068
"43",1954-03-01,1954,"Mar",-0.0466666666666666,"Neutral Phase",0.3,0.07937343
"44",1954-05-01,1954,"May",-0.536666666666667,"Cool Phase/La Nina",0.5,-0.16404023
"45",1954-11-01,1954,"Nov",-0.73,"Cool Phase/La Nina",0.1,0.35474005
"46",1954-10-01,1954,"Oct",-0.77,"Cool Phase/La Nina",0.3,0.18381241
"47",1954-09-01,1954,"Sep",-0.896666666666667,"Cool Phase/La Nina",0.2,-0.26280328
"48",1955-04-01,1955,"Apr",-0.803333333333333,"Cool Phase/La Nina",-0.1,0.0407132
"49",1955-08-01,1955,"Aug",-0.75,"Cool Phase/La Nina",1.5,0.2745267
"50",1955-12-01,1955,"Dec",-1.47,"Cool Phase/La Nina",1,-0.5180143
"51",1955-02-01,1955,"Feb",-0.616666666666667,"Cool Phase/La Nina",1.9,-0.24927549
"52",1955-01-01,1955,"Jan",-0.68,"Cool Phase/La Nina",-0.5,0.32620733
"53",1955-07-01,1955,"Jul",-0.683333333333333,"Cool Phase/La Nina",1.6,-0.088022544
"54",1955-06-01,1955,"Jun",-0.72,"Cool Phase/La Nina",1.3,-0.015894133
"55",1955-03-01,1955,"Mar",-0.69,"Cool Phase/La Nina",0.6,-0.2159785
"56",1955-05-01,1955,"May",-0.786666666666667,"Cool Phase/La Nina",1,0.26141044
"57",1955-11-01,1955,"Nov",-1.67333333333333,"Cool Phase/La Nina",1.2,-0.080028769
"58",1955-10-01,1955,"Oct",-1.42666666666667,"Cool Phase/La Nina",1.5,-0.52419361
"59",1955-09-01,1955,"Sep",-1.09,"Cool Phase/La Nina",1.3,-0.11022702
"60",1956-04-01,1956,"Apr",-0.533333333333333,"Cool Phase/La Nina",0.9,-0.038234934
"61",1956-08-01,1956,"Aug",-0.553333333333333,"Cool Phase/La Nina",1.2,0.53975909
"62",1956-12-01,1956,"Dec",-0.433333333333333,"Neutral Phase",1.1,-0.76721175
"63",1956-02-01,1956,"Feb",-0.756666666666667,"Cool Phase/La Nina",1.6,-0.13795981
"64",1956-01-01,1956,"Jan",-1.11333333333333,"Cool Phase/La Nina",1.3,0.1202669
"65",1956-07-01,1956,"Jul",-0.57,"Cool Phase/La Nina",1.1,0.4639145
"66",1956-06-01,1956,"Jun",-0.506666666666667,"Cool Phase/La Nina",1.1,0.47106723
"67",1956-03-01,1956,"Mar",-0.626666666666667,"Cool Phase/La Nina",1.3,0.022979146
"68",1956-05-01,1956,"May",-0.513333333333333,"Cool Phase/La Nina",1.4,0.14195733
"69",1956-11-01,1956,"Nov",-0.433333333333333,"Neutral Phase",0.2,-0.22625107
"70",1956-10-01,1956,"Oct",-0.42,"Neutral Phase",1.8,-0.051508982
"71",1956-09-01,1956,"Sep",-0.456666666666667,"Neutral Phase",0.1,0.30064613
"72",1957-04-01,1957,"Apr",0.72,"Warm Phase/El Nino",0.2,-1.2553542
"73",1957-08-01,1957,"Aug",1.32333333333333,"Warm Phase/El Nino",-0.5,-0.90544124
"74",1957-12-01,1957,"Dec",1.73666666666667,"Warm Phase/El Nino",-0.3,-0.71664127
"75",1957-02-01,1957,"Feb",0.06,"Neutral Phase",-0.1,-1.9587271
"76",1957-01-01,1957,"Jan",-0.246666666666667,"Neutral Phase",0.6,-1.2715967
"77",1957-07-01,1957,"Jul",1.25,"Warm Phase/El Nino",0.2,-0.75587754
"78",1957-06-01,1957,"Jun",1.11,"Warm Phase/El Nino",0.2,-1.1681711
"79",1957-03-01,1957,"Mar",0.413333333333333,"Neutral Phase",0.2,-1.3393664
"80",1957-05-01,1957,"May",0.92,"Warm Phase/El Nino",-0.7,-1.0382093
"81",1957-11-01,1957,"Nov",1.53333333333333,"Warm Phase/El Nino",-1,-1.407435
"82",1957-10-01,1957,"Oct",1.38666666666667,"Warm Phase/El Nino",0,-1.0286289
"83",1957-09-01,1957,"Sep",1.33333333333333,"Warm Phase/El Nino",-0.9,-0.9222347
"84",1958-04-01,1958,"Apr",0.926666666666667,"Warm Phase/El Nino",0.4,-0.71935478
"85",1958-08-01,1958,"Aug",0.426666666666667,"Neutral Phase",0.9,-0.6288164
"86",1958-12-01,1958,"Dec",0.61,"Warm Phase/El Nino",-0.6,-0.40523129
"87",1958-02-01,1958,"Feb",1.65333333333333,"Warm Phase/El Nino",-0.5,0.14663043
"88",1958-01-01,1958,"Jan",1.80333333333333,"Warm Phase/El Nino",-1.9,0.11660279
"89",1958-07-01,1958,"Jul",0.573333333333333,"Warm Phase/El Nino",0.4,-0.86964646
"90",1958-06-01,1958,"Jun",0.636666666666667,"Warm Phase/El Nino",0.3,-0.72342443
"91",1958-03-01,1958,"Mar",1.26333333333333,"Warm Phase/El Nino",0.3,-1.1516998
"92",1958-05-01,1958,"May",0.736666666666667,"Warm Phase/El Nino",-0.5,-0.85098363
"93",1958-11-01,1958,"Nov",0.5,"Warm Phase/El Nino",-0.4,-0.77451839
"94",1958-10-01,1958,"Oct",0.436666666666667,"Neutral Phase",0.1,-0.50880797
"95",1958-09-01,1958,"Sep",0.393333333333333,"Neutral Phase",-0.3,-0.20443409
"96",1959-04-01,1959,"Apr",0.326666666666667,"Neutral Phase",0.4,-0.45130383
"97",1959-08-01,1959,"Aug",-0.28,"Neutral Phase",-0.1,-0.50436494
"98",1959-12-01,1959,"Dec",-0.0433333333333333,"Neutral Phase",0.9,0.42278478
"99",1959-02-01,1959,"Feb",0.623333333333333,"Warm Phase/El Nino",-1.4,-0.59064476
"100",1959-01-01,1959,"Jan",0.616666666666667,"Warm Phase/El Nino",-0.9,0.12278854
"101",1959-07-01,1959,"Jul",-0.18,"Neutral Phase",-0.3,-0.39649446
"102",1959-06-01,1959,"Jun",-0.0666666666666667,"Neutral Phase",-0.1,-0.37320207
"103",1959-03-01,1959,"Mar",0.516666666666667,"Warm Phase/El Nino",1.3,-0.39206877
"104",1959-05-01,1959,"May",0.196666666666667,"Neutral Phase",0.5,-0.43784908
"105",1959-11-01,1959,"Nov",0.0466666666666667,"Neutral Phase",0.9,-0.04796909
"106",1959-10-01,1959,"Oct",-0.03,"Neutral Phase",0.5,0.13413238
"107",1959-09-01,1959,"Sep",-0.09,"Neutral Phase",0,0.072659201
"108",1960-04-01,1960,"Apr",0.03,"Neutral Phase",0.8,0.79348216
"109",1960-08-01,1960,"Aug",0.236666666666667,"Neutral Phase",0.8,0.43794466
"110",1960-12-01,1960,"Dec",0.05,"Neutral Phase",0.8,1.1361285
"111",1960-02-01,1960,"Feb",-0.103333333333333,"Neutral Phase",0.1,0.81857807
"112",1960-01-01,1960,"Jan",-0.0966666666666667,"Neutral Phase",0.1,1.0163805
"113",1960-07-01,1960,"Jul",0.123333333333333,"Neutral Phase",0.5,0.70915221
"114",1960-06-01,1960,"Jun",0.03,"Neutral Phase",0.1,0.31314454
"115",1960-03-01,1960,"Mar",-0.07,"Neutral Phase",1,0.86326859
"116",1960-05-01,1960,"May",0.0166666666666667,"Neutral Phase",0.5,0.91892054
"117",1960-11-01,1960,"Nov",0.123333333333333,"Neutral Phase",0.5,0.95336825
"118",1960-10-01,1960,"Oct",0.203333333333333,"Neutral Phase",0.1,0.48853548
"119",1960-09-01,1960,"Sep",0.273333333333333,"Neutral Phase",0.7,0.52397594
"120",1961-04-01,1961,"Apr",0.0933333333333333,"Neutral Phase",0.8,0.95715692
"121",1961-08-01,1961,"Aug",-0.13,"Neutral Phase",0.2,1.0746483
"122",1961-12-01,1961,"Dec",-0.156666666666667,"Neutral Phase",1.5,0.39737078
"123",1961-02-01,1961,"Feb",0.0266666666666667,"Neutral Phase",0.9,1.3593808
"124",1961-01-01,1961,"Jan",0.0333333333333333,"Neutral Phase",-0.3,1.1032184
"125",1961-07-01,1961,"Jul",0.143333333333333,"Neutral Phase",0.2,1.0626986
"126",1961-06-01,1961,"Jun",0.27,"Neutral Phase",0.1,1.2018429
"127",1961-03-01,1961,"Mar",0.04,"Neutral Phase",-1.8,1.7493986
"128",1961-05-01,1961,"May",0.233333333333333,"Neutral Phase",0.3,1.4002097
"129",1961-11-01,1961,"Nov",-0.183333333333333,"Neutral Phase",0.5,0.22058507
"130",1961-10-01,1961,"Oct",-0.256666666666667,"Neutral Phase",-0.3,0.34873726
"131",1961-09-01,1961,"Sep",-0.293333333333333,"Neutral Phase",0.1,0.77296683
"132",1962-04-01,1962,"Apr",-0.263333333333333,"Neutral Phase",0.2,-0.47141795
"133",1962-08-01,1962,"Aug",-0.07,"Neutral Phase",0.6,-0.37063506
"134",1962-12-01,1962,"Dec",-0.43,"Neutral Phase",0.2,0.46514247
"135",1962-02-01,1962,"Feb",-0.223333333333333,"Neutral Phase",-0.3,-0.14977739
"136",1962-01-01,1962,"Jan",-0.24,"Neutral Phase",2,0.17476225
"137",1962-07-01,1962,"Jul",-0.04,"Neutral Phase",0.1,-0.062123467
"138",1962-06-01,1962,"Jun",-0.193333333333333,"Neutral Phase",0.7,-0.30441143
"139",1962-03-01,1962,"Mar",-0.203333333333333,"Neutral Phase",0.1,-0.60767641
"140",1962-05-01,1962,"May",-0.273333333333333,"Neutral Phase",1.1,-0.73901362
"141",1962-11-01,1962,"Nov",-0.303333333333333,"Neutral Phase",0.3,0.44560527
"142",1962-10-01,1962,"Oct",-0.223333333333333,"Neutral Phase",1,0.16424001
"143",1962-09-01,1962,"Sep",-0.11,"Neutral Phase",0.4,0.33421582
"144",1963-04-01,1963,"Apr",0.27,"Neutral Phase",0.8,-0.81056845
"145",1963-08-01,1963,"Aug",1.14,"Warm Phase/El Nino",0,-0.1346054
"146",1963-12-01,1963,"Dec",1.30666666666667,"Warm Phase/El Nino",-1.2,0.54103299
"147",1963-02-01,1963,"Feb",-0.156666666666667,"Neutral Phase",0.6,-0.27996258
"148",1963-01-01,1963,"Jan",-0.4,"Neutral Phase",1,-0.81285016
"149",1963-07-01,1963,"Jul",0.86,"Warm Phase/El Nino",-0.1,-0.36669314
"150",1963-06-01,1963,"Jun",0.516666666666667,"Warm Phase/El Nino",-0.5,-0.71623806
"151",1963-03-01,1963,"Mar",0.146666666666667,"Neutral Phase",1.1,-1.0965502
"152",1963-05-01,1963,"May",0.313333333333333,"Neutral Phase",0.4,-0.42822716
"153",1963-11-01,1963,"Nov",1.37333333333333,"Warm Phase/El Nino",-0.8,0.66107473
"154",1963-10-01,1963,"Oct",1.29333333333333,"Warm Phase/El Nino",-1.2,0.50714133
"155",1963-09-01,1963,"Sep",1.22,"Warm Phase/El Nino",-0.6,0.11978808
"156",1964-04-01,1964,"Apr",-0.33,"Neutral Phase",1.1,0.25015275
"157",1964-08-01,1964,"Aug",-0.663333333333333,"Cool Phase/La Nina",1.5,0.78188421
"158",1964-12-01,1964,"Dec",-0.783333333333333,"Cool Phase/La Nina",-0.3,-0.67944342
"159",1964-02-01,1964,"Feb",0.613333333333333,"Warm Phase/El Nino",0,0.29248032
"160",1964-01-01,1964,"Jan",1.07,"Warm Phase/El Nino",-0.4,1.0728952
"161",1964-07-01,1964,"Jul",-0.596666666666667,"Cool Phase/La Nina",0.6,1.6039742
"162",1964-06-01,1964,"Jun",-0.58,"Cool Phase/La Nina",0.8,0.88409534
"163",1964-03-01,1964,"Mar",0.12,"Neutral Phase",1.1,0.35166979
"164",1964-05-01,1964,"May",-0.576666666666667,"Cool Phase/La Nina",0.2,0.27190132
"165",1964-11-01,1964,"Nov",-0.823333333333333,"Cool Phase/La Nina",0.2,0.074383372
"166",1964-10-01,1964,"Oct",-0.796666666666667,"Cool Phase/La Nina",1.3,0.71267229
"167",1964-09-01,1964,"Sep",-0.763333333333333,"Cool Phase/La Nina",1.3,0.91256373
"168",1965-04-01,1965,"Apr",0.18,"Neutral Phase",-0.5,-0.87943354
"169",1965-08-01,1965,"Aug",1.54666666666667,"Warm Phase/El Nino",-0.7,-0.44396173
"170",1965-12-01,1965,"Dec",1.71666666666667,"Warm Phase/El Nino",0.2,-1.1935027
"171",1965-02-01,1965,"Feb",-0.276666666666667,"Neutral Phase",0.4,-0.8375497
"172",1965-01-01,1965,"Jan",-0.593333333333333,"Cool Phase/La Nina",-0.4,-0.60927069
"173",1965-07-01,1965,"Jul",1.22,"Warm Phase/El Nino",-1.8,-0.69218264
"174",1965-06-01,1965,"Jun",0.833333333333333,"Warm Phase/El Nino",-0.6,-0.83030121
"175",1965-03-01,1965,"Mar",-0.07,"Neutral Phase",0.8,-0.9425717
"176",1965-05-01,1965,"May",0.456666666666667,"Neutral Phase",0.2,-1.1591951
"177",1965-11-01,1965,"Nov",1.96666666666667,"Warm Phase/El Nino",-1.5,-0.91841417
"178",1965-10-01,1965,"Oct",1.97666666666667,"Warm Phase/El Nino",-0.9,-0.68304581
"179",1965-09-01,1965,"Sep",1.85333333333333,"Warm Phase/El Nino",-1.3,-0.85712342
"180",1966-04-01,1966,"Apr",0.656666666666667,"Warm Phase/El Nino",-0.2,-1.3692633
"181",1966-08-01,1966,"Aug",0.123333333333333,"Neutral Phase",0.6,-0.97791948
"182",1966-12-01,1966,"Dec",-0.303333333333333,"Neutral Phase",-0.3,-0.54499555
"183",1966-02-01,1966,"Feb",1.16666666666667,"Warm Phase/El Nino",-0.2,-1.114448
"184",1966-01-01,1966,"Jan",1.37333333333333,"Warm Phase/El Nino",-1.3,-0.32304436
"185",1966-07-01,1966,"Jul",0.243333333333333,"Neutral Phase",0.1,-1.1138805
"186",1966-06-01,1966,"Jun",0.243333333333333,"Neutral Phase",0.3,-1.2637274
"187",1966-03-01,1966,"Mar",0.983333333333333,"Warm Phase/El Nino",-0.9,-0.59910173
"188",1966-05-01,1966,"May",0.356666666666667,"Neutral Phase",-0.4,-1.678718
"189",1966-11-01,1966,"Nov",-0.18,"Neutral Phase",0,-0.93839698
"190",1966-10-01,1966,"Oct",-0.1,"Neutral Phase",-0.1,-0.79952865
"191",1966-09-01,1966,"Sep",-0.0533333333333333,"Neutral Phase",-0.2,-0.75325036
"192",1967-04-01,1967,"Apr",-0.45,"Neutral Phase",0,-0.89138072
"193",1967-08-01,1967,"Aug",-0.153333333333333,"Neutral Phase",0.7,-0.75379956
"194",1967-12-01,1967,"Dec",-0.44,"Neutral Phase",-0.6,-0.23339957
"195",1967-02-01,1967,"Feb",-0.476666666666667,"Neutral Phase",1.7,-0.61006085
"196",1967-01-01,1967,"Jan",-0.41,"Neutral Phase",1.7,-0.73605125
"197",1967-07-01,1967,"Jul",0.05,"Neutral Phase",0.2,-1.1731513
"198",1967-06-01,1967,"Jun",-6.93889390390723e-18,"Neutral Phase",0.6,-1.252485
"199",1967-03-01,1967,"Mar",-0.536666666666667,"Cool Phase/La Nina",1.2,-1.1191961
"200",1967-05-01,1967,"May",-0.24,"Neutral Phase",0,-0.99509831
"201",1967-11-01,1967,"Nov",-0.34,"Neutral Phase",-0.4,-0.58751481
"202",1967-10-01,1967,"Oct",-0.376666666666667,"Neutral Phase",0.1,0.0071177736
"203",1967-09-01,1967,"Sep",-0.293333333333333,"Neutral Phase",0.5,-0.051677917
"204",1968-04-01,1968,"Apr",-0.44,"Neutral Phase",0,-1.1582636
"205",1968-08-01,1968,"Aug",0.526666666666667,"Warm Phase/El Nino",0.3,-0.95952812
"206",1968-12-01,1968,"Dec",0.976666666666667,"Warm Phase/El Nino",0.2,-0.86887064
"207",1968-02-01,1968,"Feb",-0.733333333333333,"Cool Phase/La Nina",1.3,-0.6258595
"208",1968-01-01,1968,"Jan",-0.633333333333333,"Cool Phase/La Nina",0.5,-0.76610972
"209",1968-07-01,1968,"Jul",0.573333333333333,"Warm Phase/El Nino",0.7,-1.0214287
"210",1968-06-01,1968,"Jun",0.28,"Neutral Phase",1.1,-1.0381912
"211",1968-03-01,1968,"Mar",-0.613333333333333,"Cool Phase/La Nina",0.1,-0.63205407
"212",1968-05-01,1968,"May",-0.04,"Neutral Phase",1.2,-1.2594507
"213",1968-11-01,1968,"Nov",0.736666666666667,"Warm Phase/El Nino",-0.3,-0.22530564
"214",1968-10-01,1968,"Oct",0.55,"Warm Phase/El Nino",-0.1,-0.73758116
"215",1968-09-01,1968,"Sep",0.446666666666667,"Neutral Phase",-0.3,-0.91457811
"216",1969-04-01,1969,"Apr",0.766666666666667,"Warm Phase/El Nino",-0.4,-0.1832465
"217",1969-08-01,1969,"Aug",0.516666666666667,"Warm Phase/El Nino",-0.1,-0.23232563
"218",1969-12-01,1969,"Dec",0.633333333333333,"Warm Phase/El Nino",0.4,1.1272413
"219",1969-02-01,1969,"Feb",1.08666666666667,"Warm Phase/El Nino",-0.5,-0.7369928
"220",1969-01-01,1969,"Jan",1.13,"Warm Phase/El Nino",-1.5,-2.5593478
"221",1969-07-01,1969,"Jul",0.363333333333333,"Neutral Phase",-0.5,-0.73089032
"222",1969-06-01,1969,"Jun",0.43,"Neutral Phase",0.2,-0.77551688
"223",1969-03-01,1969,"Mar",0.95,"Warm Phase/El Nino",0.4,-0.7334626
"224",1969-05-01,1969,"May",0.613333333333333,"Warm Phase/El Nino",-0.2,-0.090880893
"225",1969-11-01,1969,"Nov",0.81,"Warm Phase/El Nino",-0.1,-0.04127024
"226",1969-10-01,1969,"Oct",0.86,"Warm Phase/El Nino",-0.9,0.28993968
"227",1969-09-01,1969,"Sep",0.793333333333333,"Warm Phase/El Nino",-1,0.015210575
"228",1970-04-01,1970,"Apr",0.19,"Neutral Phase",-0.1,-0.22177049
"229",1970-08-01,1970,"Aug",-0.756666666666667,"Cool Phase/La Nina",0.6,0.41332336
"230",1970-12-01,1970,"Dec",-1.14666666666667,"Cool Phase/La Nina",1.9,-0.071520774
"231",1970-02-01,1970,"Feb",0.34,"Neutral Phase",-1,-0.32133677
"232",1970-01-01,1970,"Jan",0.516666666666667,"Warm Phase/El Nino",-1.1,-0.19163922
"233",1970-07-01,1970,"Jul",-0.626666666666667,"Cool Phase/La Nina",-0.4,0.27240294
"234",1970-06-01,1970,"Jun",-0.303333333333333,"Neutral Phase",1,0.37084586
"235",1970-03-01,1970,"Mar",0.293333333333333,"Neutral Phase",0.6,-0.41263578
"236",1970-05-01,1970,"May",0.0433333333333333,"Neutral Phase",0.4,0.48417772
"237",1970-11-01,1970,"Nov",-0.856666666666667,"Cool Phase/La Nina",1.6,-0.21421458
"238",1970-10-01,1970,"Oct",-0.736666666666667,"Cool Phase/La Nina",1,0.22630739
"239",1970-09-01,1970,"Sep",-0.766666666666667,"Cool Phase/La Nina",1.2,0.39857819
"240",1971-04-01,1971,"Apr",-0.846666666666667,"Cool Phase/La Nina",1.7,0.85376876
"241",1971-08-01,1971,"Aug",-0.773333333333333,"Cool Phase/La Nina",1.5,0.70605099
"242",1971-12-01,1971,"Dec",-0.896666666666667,"Cool Phase/La Nina",0.3,-0.027959273
"243",1971-02-01,1971,"Feb",-1.38333333333333,"Cool Phase/La Nina",2,0.059600681
"244",1971-01-01,1971,"Jan",-1.36,"Cool Phase/La Nina",0.4,-0.20162668
"245",1971-07-01,1971,"Jul",-0.796666666666667,"Cool Phase/La Nina",0.2,0.79092532
"246",1971-06-01,1971,"Jun",-0.736666666666667,"Cool Phase/La Nina",0.4,0.41262019
"247",1971-03-01,1971,"Mar",-1.11666666666667,"Cool Phase/La Nina",2.3,0.45392927
"248",1971-05-01,1971,"May",-0.73,"Cool Phase/La Nina",0.9,0.49495693
"249",1971-11-01,1971,"Nov",-0.956666666666667,"Cool Phase/La Nina",0.5,0.18247128
"250",1971-10-01,1971,"Oct",-0.85,"Cool Phase/La Nina",1.7,0.3306484
"251",1971-09-01,1971,"Sep",-0.82,"Cool Phase/La Nina",1.4,0.52842538
"252",1972-04-01,1972,"Apr",0.41,"Neutral Phase",-0.1,-0.68113067
"253",1972-08-01,1972,"Aug",1.37333333333333,"Warm Phase/El Nino",-0.5,-0.42736154
"254",1972-12-01,1972,"Dec",2.12333333333333,"Warm Phase/El Nino",-1.3,-0.76224231
"255",1972-02-01,1972,"Feb",-0.35,"Neutral Phase",1.1,-0.40844138
"256",1972-01-01,1972,"Jan",-0.703333333333333,"Cool Phase/La Nina",0.5,-0.5305133
"257",1972-07-01,1972,"Jul",1.13333333333333,"Warm Phase/El Nino",-1.4,-0.32239863
"258",1972-06-01,1972,"Jun",0.916666666666667,"Warm Phase/El Nino",-0.5,-0.7609987
"259",1972-03-01,1972,"Mar",0.06,"Neutral Phase",0.6,-0.69411044
"260",1972-05-01,1972,"May",0.666666666666667,"Warm Phase/El Nino",-1.6,-0.74738833
"261",1972-11-01,1972,"Nov",2.09333333333333,"Warm Phase/El Nino",-0.3,-0.55620606
"262",1972-10-01,1972,"Oct",1.84,"Warm Phase/El Nino",-0.9,-1.0954562
"263",1972-09-01,1972,"Sep",1.58333333333333,"Warm Phase/El Nino",-1.4,-0.92539715
"264",1973-04-01,1973,"Apr",-0.0966666666666667,"Neutral Phase",0.1,-0.050589071
"265",1973-08-01,1973,"Aug",-1.28333333333333,"Cool Phase/La Nina",1.3,0.16718172
"266",1973-12-01,1973,"Dec",-2.03333333333333,"Cool Phase/La Nina",1.8,0.33929289
"267",1973-02-01,1973,"Feb",1.25,"Warm Phase/El Nino",-1.4,-0.50339577
"268",1973-01-01,1973,"Jan",1.84666666666667,"Warm Phase/El Nino",-0.3,-0.048363215
"269",1973-07-01,1973,"Jul",-1.10666666666667,"Cool Phase/La Nina",0.6,0.32357245
"270",1973-06-01,1973,"Jun",-0.866666666666667,"Cool Phase/La Nina",1.1,0.51442802
"271",1973-03-01,1973,"Mar",0.546666666666667,"Warm Phase/El Nino",0.7,-0.072347531
"272",1973-05-01,1973,"May",-0.536666666666667,"Cool Phase/La Nina",0.4,0.25466121
"273",1973-11-01,1973,"Nov",-1.94666666666667,"Cool Phase/La Nina",2.6,-0.11299269
"274",1973-10-01,1973,"Oct",-1.71333333333333,"Cool Phase/La Nina",0.8,0.35027916
"275",1973-09-01,1973,"Sep",-1.45333333333333,"Cool Phase/La Nina",1.2,0.3572996
"276",1974-04-01,1974,"Apr",-1.03,"Cool Phase/La Nina",0.9,0.014818799
"277",1974-08-01,1974,"Aug",-0.37,"Neutral Phase",0.8,0.26162988
"278",1974-12-01,1974,"Dec",-0.64,"Cool Phase/La Nina",0.2,0.71586735
"279",1974-02-01,1974,"Feb",-1.55333333333333,"Cool Phase/La Nina",2.1,-0.38642797
"280",1974-01-01,1974,"Jan",-1.83666666666667,"Cool Phase/La Nina",2.4,-1.0033867
"281",1974-07-01,1974,"Jul",-0.536666666666667,"Cool Phase/La Nina",1.1,0.37670197
"282",1974-06-01,1974,"Jun",-0.77,"Cool Phase/La Nina",0.4,0.21918141
"283",1974-03-01,1974,"Mar",-1.22666666666667,"Cool Phase/La Nina",2.4,-0.026205274
"284",1974-05-01,1974,"May",-0.91,"Cool Phase/La Nina",1,-0.16634801
"285",1974-11-01,1974,"Nov",-0.753333333333333,"Cool Phase/La Nina",-0.1,0.04270522
"286",1974-10-01,1974,"Oct",-0.61,"Cool Phase/La Nina",0.9,0.0074986156
"287",1974-09-01,1974,"Sep",-0.406666666666667,"Neutral Phase",1.1,-0.16775789
"288",1975-04-01,1975,"Apr",-0.733333333333333,"Cool Phase/La Nina",1.2,0.64921899
"289",1975-08-01,1975,"Aug",-1.20333333333333,"Cool Phase/La Nina",2,1.0259992
"290",1975-12-01,1975,"Dec",-1.65,"Cool Phase/La Nina",2.1,1.0790459
"291",1975-02-01,1975,"Feb",-0.57,"Cool Phase/La Nina",0.8,0.98490837
"292",1975-01-01,1975,"Jan",-0.543333333333333,"Cool Phase/La Nina",-0.5,0.63875186
"293",1975-07-01,1975,"Jul",-1.13,"Cool Phase/La Nina",1.9,0.51100819
"294",1975-06-01,1975,"Jun",-0.983333333333333,"Cool Phase/La Nina",1.3,0.45778814
"295",1975-03-01,1975,"Mar",-0.656666666666667,"Cool Phase/La Nina",1.6,0.7158461
